uuid,name,superClass,interfaces,isInterface,hasSuperClass,hasInterfaces,fields
fc8dd576-6c04-4556-87b8-192704f53aa0,sun.text.normalizer.NormalizerImpl$NormTrieImpl,,sun.text.normalizer.Trie$DataManipulate,false,false,true,"[""normTrie"",""8"",""sun.text.normalizer.IntTrie""]"
d684ad63-48c3-4b08-9c39-f81c6b1ce527,java.util.regex.Pattern$Category,java.util.regex.Pattern$CharProperty,,false,true,false,"[""typeMask"",""16"",""int""]"
a80d9edd-6ee6-479a-9779-2be4f8539295,sun.security.provider.SeedGenerator$ThreadedSeedGenerator$BogusThread,,java.lang.Runnable,false,false,true,
f7ff87f9-c6fd-4f33-bd30-c584cacccd8d,sun.net.util.URLUtil,,,false,false,false,
081bac7e-33f5-46d9-a65a-4a2f4e90e7b7,java.util.function.LongConsumer$lambda_andThen_0__326,,java.util.function.LongConsumer,false,false,true,"[""cap1"",""0"",""java.util.function.LongConsumer""]|[""cap0"",""0"",""java.util.function.LongConsumer""]"
41e33e60-47ad-437c-8915-dbb5595c0c74,java.util.stream.FindOps$FindOp,,java.util.stream.TerminalOp,false,false,true,"[""emptyValue"",""16"",""java.lang.Object""]|[""presentPredicate"",""16"",""java.util.function.Predicate""]|[""shape"",""18"",""java.util.stream.StreamShape""]|[""sinkSupplier"",""16"",""java.util.function.Supplier""]|[""mustFindFirst"",""16"",""boolean""]"
3ba1e726-3ce0-499b-89bb-5d23d625df2f,sun.reflect.DelegatingConstructorAccessorImpl,sun.reflect.ConstructorAccessorImpl,,false,true,false,"[""delegate"",""2"",""sun.reflect.ConstructorAccessorImpl""]"
c567748b-4aa6-402b-a760-4600dd179714,java.lang.CharSequence,,,true,false,false,
8c6d871e-5caf-43d6-930f-0dd04366be1f,java.util.concurrent.Executors$FinalizableDelegatedExecutorService,java.util.concurrent.Executors$DelegatedExecutorService,,false,true,false,
7addc207-9aef-436a-891b-d1e993450c74,java.util.stream.Collectors$lambda_groupingByConcurrent_51__141,,java.util.function.BiConsumer,false,false,true,"[""cap2"",""0"",""java.util.function.BiConsumer""]|[""cap0"",""0"",""java.util.function.Function""]|[""cap1"",""0"",""java.util.function.Supplier""]"
447de62a-5d34-41d4-a731-5342df29c50b,java.time.chrono.HijrahDate$1,,,false,false,false,"[""$SwitchMap$java$time$temporal$ChronoField"",""4120"",""int[]""]"
7e303414-7fdc-4ca1-adc3-4a1deb5c983c,java.util.regex.Pattern$CharProperty$1,java.util.regex.Pattern$CharProperty,,false,true,false,"[""this$0"",""4112"",""java.util.regex.Pattern$CharProperty""]"
36aab696-20bb-486e-a4c1-5f1fb42d154e,java.time.format.DateTimeFormatterBuilder,,,false,false,false,"[""QUERY_REGION_ONLY"",""26"",""java.time.temporal.TemporalQuery""]|[""optional"",""18"",""boolean""]|[""FIELD_MAP"",""26"",""java.util.Map""]|[""padNextChar"",""2"",""char""]|[""valueParserIndex"",""2"",""int""]|[""LENGTH_SORT"",""24"",""java.util.Comparator""]|[""padNextWidth"",""2"",""int""]|[""parent"",""18"",""java.time.format.DateTimeFormatterBuilder""]|[""printerParsers"",""18"",""java.util.List""]|[""active"",""2"",""java.time.format.DateTimeFormatterBuilder""]"
1d3a0aac-2d96-4ccd-98ae-772b47ad7530,java.nio.file.ProviderMismatchException,java.lang.IllegalArgumentException,,false,true,false,"[""serialVersionUID"",""24"",""long""]"
91bde2b7-dd2d-41ca-a63e-9e005c17dbb5,java.util.ArraysParallelSortHelpers$FJFloat$Merger,java.util.concurrent.CountedCompleter,,false,true,false,"[""rbase"",""16"",""int""]|[""serialVersionUID"",""24"",""long""]|[""lbase"",""16"",""int""]|[""wbase"",""16"",""int""]|[""gran"",""16"",""int""]|[""lsize"",""16"",""int""]|[""a"",""16"",""float[]""]|[""w"",""16"",""float[]""]|[""rsize"",""16"",""int""]"
